"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 16 14:05:48 GMT 2023","Sun Jul 16 14:05:48 GMT 2023","3","","Valid parentheses","","Valid parentheses","empty string","empty string",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","0","","Deodorant Evaporator tests","","Deodorant Evaporator tests","Tests","Tests",""
"failed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","1","","src/main/java/training/katas/Array_diff/array.diff.test.js","","src/main/java/training/katas/Array_diff/array.diff.test.js","[1, 2, 3], [1, 2] -> [3]","[1, 2, 3], [1, 2] -> [3]",""
"passed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","0","","src/main/java/training/katas/BitCounting/bit_counting.test.js","","src/main/java/training/katas/BitCounting/bit_counting.test.js","0 -> 0","0 -> 0",""
"passed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","0","","src/main/java/training/katas/BitCounting/bit_counting.test.js","","src/main/java/training/katas/BitCounting/bit_counting.test.js","10 -> 2","10 -> 2",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","0","","src/main/java/training/katas/DeodorantEvaporator/deodorant_evaporator.test.js","","src/main/java/training/katas/DeodorantEvaporator/deodorant_evaporator.test.js","10 10 5 -> 29","10 10 5 -> 29",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","1","","src/main/java/training/katas/DeodorantEvaporator/deodorant_evaporator.test.js","","src/main/java/training/katas/DeodorantEvaporator/deodorant_evaporator.test.js","10 10 10 -> 22","10 10 10 -> 22",""
"passed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","0","","src/main/java/training/katas/BitCounting/bit_counting.test.js","","src/main/java/training/katas/BitCounting/bit_counting.test.js","4 -> 1","4 -> 1",""
"failed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","7","","Array diff tests","","Array diff tests","Tests","Tests",""
"passed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","2","","Bit Counting tests","","Bit Counting tests","Tests","Tests",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","1","","Sum of odd numbers tests","","Sum of odd numbers tests","Tests","Tests",""
"failed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","1","","src/main/java/training/katas/Array_diff/array.diff.test.js","","src/main/java/training/katas/Array_diff/array.diff.test.js","[3, 4], [3] -> [4]","[3, 4], [3] -> [4]",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","1","","Nesting structure comparison","","Nesting structure comparison","should test for something","should test for something",""
"passed","Sun Jul 16 14:06:06 GMT 2023","Sun Jul 16 14:06:06 GMT 2023","19","","","","SolutionTest","ExesAndOhsTests","ExesAndOhsTests",""
"passed","Sun Jul 16 14:06:06 GMT 2023","Sun Jul 16 14:06:06 GMT 2023","4","","","","MyTest","FirstTest","FirstTest",""
"passed","Sun Jul 16 14:06:06 GMT 2023","Sun Jul 16 14:06:06 GMT 2023","0","","","","MyTest","ThirdTest","ThirdTest",""
"failed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","1","","Anagrams","","Anagrams","abba","abba",""
"failed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","5","","Pick peaks","","Pick peaks","Tests","Tests",""
"failed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","1","","src/main/java/training/katas/Array_diff/array.diff.test.js","","src/main/java/training/katas/Array_diff/array.diff.test.js","[1, 8, 2], [] -> [1, 8, 2]","[1, 8, 2], [] -> [1, 8, 2]",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","1","","Pyramid array basic tests","","Pyramid array basic tests","Testing for 1","Testing for 1",""
"passed","Sun Jul 16 14:06:06 GMT 2023","Sun Jul 16 14:06:06 GMT 2023","1","","","","SolutionTest","SampleTest2","SampleTest2",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","0","","Pyramid array basic tests","","Pyramid array basic tests","Testing for 3","Testing for 3",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","0","","Pyramid array basic tests","","Pyramid array basic tests","Testing for 2","Testing for 2",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","1","","Pyramid array basic tests","","Pyramid array basic tests","Testing for 0","Testing for 0",""
"passed","Sun Jul 16 14:06:06 GMT 2023","Sun Jul 16 14:06:06 GMT 2023","3","","","","SplitStringTests","BasicTests","BasicTests",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","0","","src/main/java/training/katas/SumOfOddNumbers/sum_of_odd_numbers.test.js","","src/main/java/training/katas/SumOfOddNumbers/sum_of_odd_numbers.test.js","42-> 74088","42-> 74088",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","1","","src/main/java/training/katas/SumOfOddNumbers/sum_of_odd_numbers.test.js","","src/main/java/training/katas/SumOfOddNumbers/sum_of_odd_numbers.test.js","1-> 1","1-> 1",""
"passed","Sun Jul 16 14:05:47 GMT 2023","Sun Jul 16 14:05:47 GMT 2023","1","","src/main/java/training/katas/DeodorantEvaporator/deodorant_evaporator.test.js","","src/main/java/training/katas/DeodorantEvaporator/deodorant_evaporator.test.js","100 5 5 -> 59","100 5 5 -> 59",""
"passed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","0","","src/main/java/training/katas/BitCounting/bit_counting.test.js","","src/main/java/training/katas/BitCounting/bit_counting.test.js","9 -> 2","9 -> 2",""
"failed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","1","","src/main/java/training/katas/Array_diff/array.diff.test.js","","src/main/java/training/katas/Array_diff/array.diff.test.js","[], [4, 5] -> []","[], [4, 5] -> []",""
"passed","Sun Jul 16 14:06:06 GMT 2023","Sun Jul 16 14:06:06 GMT 2023","0","","","","MyTest","SecondTest","SecondTest",""
"passed","Sun Jul 16 14:05:46 GMT 2023","Sun Jul 16 14:05:46 GMT 2023","1","","src/main/java/training/katas/BitCounting/bit_counting.test.js","","src/main/java/training/katas/BitCounting/bit_counting.test.js","7 -> 3","7 -> 3",""
